Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
Nebraska,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,4,0,0
New Hampshire,US,3/26/2020 23:48,1,0,0
Pennsylvania,US,3/26/2020 23:48,84,0,0
South Carolina,US,3/26/2020 23:48,1,0,0
Tennessee,US,3/26/2020 23:48,2,0,0
South Carolina,US,3/26/2020 23:48,3,0,0
Virginia,US,3/26/2020 23:48,12,0,0
Colorado,US,3/26/2020 23:48,0,0,0
Kansas,US,3/26/2020 23:48,0,0,0
Nebraska,US,3/26/2020 23:48,0,0,0
Iowa,US,3/26/2020 23:48,0,0,0
Mississippi,US,3/26/2020 23:48,7,0,0
Arkansas,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,0,0,0
Alabama,US,3/26/2020 23:48,4,0,0
Michigan,US,3/26/2020 23:48,1,0,0
Minnesota,US,3/26/2020 23:48,0,0,0
Wisconsin,US,3/26/2020 23:48,1,0,0
Minnesota,US,3/26/2020 23:48,2,0,0
Vermont,US,3/26/2020 23:48,75,4,0
Alabama,US,3/26/2020 23:48,1,0,0
Mississippi,US,3/26/2020 23:48,4,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Montana,US,3/26/2020 23:48,0,0,0
North Carolina,US,3/26/2020 23:48,0,0,0
Illinois,US,3/26/2020 23:48,1,0,0
Kentucky,US,3/26/2020 23:48,2,0,0
Missouri,US,3/26/2020 23:48,2,0,0
Nevada,US,3/26/2020 23:48,0,0,0
New Mexico,US,3/26/2020 23:48,1,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Florida,US,3/26/2020 23:48,11,1,0
Oregon,US,3/26/2020 23:48,21,2,0
Louisiana,US,3/26/2020 23:48,2,0,0
Mississippi,US,3/26/2020 23:48,0,0,0
Tennessee,US,3/26/2020 23:48,2,0,0
Washington,US,3/26/2020 23:48,5,0,0
Michigan,US,3/26/2020 23:48,1,0,0
South Carolina,US,3/26/2020 23:48,5,1,0
